#Galaxy Name,Filename,Extension,dx,dy,x0,y0,Galaxy type,Morphology,H,M,S,RA (deg),D,M,S,Dec (deg),Major (arcmin),Minor (arcmin),Major (ly),Minor (ly),Distance (Mpc),Distance (ly),Constellation,Stellar Mass (log),Other names,Notes
NGC 3049,NGC3049,.jpg,0.06,0.06,0.45,0.29,Spiral,SAab,9,54,49.6,148.7066666667,9,16,17,9.2713888889,2.2,1.4,4.01E+04,2.55E+04,19.2,6.26E+07,Leo,8.58,UGC 5325; Mrk 710,
NGC 3190,NGC3190,.jpg,0.06,0.07,0.31,0.21,Spiral,SAa-pec,10,18,5.3,154.5220833333,21,49,58,21.8327777778,4.4,1.5,8.06E+04,2.75E+04,19.3,6.29E+07,Leo,10.03,Arp 316; UGC 5559,
NGC 3621,NGC3621,.jpg,0.06,0.07,0.87,0.21,Spiral,SAd,11,18,16.2,169.5675,-32,48,43,-32.8119444444,12.3,7.1,7.64E+04,4.41E+04,6.55,2.14E+07,Hydra,10.57,,
NGC 3773,NGC3773,.jpg,0.05,0.05,0.29,0.42,Spiral,SA0,11,38,13.1,174.5545833333,12,6,44,12.1122222222,1.2,1,1.41E+04,1.18E+04,12.4,4.04E+07,Leo,8.31,UGC 6605; Mrk 743,
NGC 3938,NGC3938,.jpg,0.09,0.1,0.59,0.12,Spiral,SAc,11,52,49.2,178.205,44,7,17,44.1213888889,5.4,4.9,9.17E+04,8.32E+04,17.9,5.84E+07,Ursa Major,9.12,UGC 6856,
M99,NGC4254,.jpg,0.08,0.09,0.69,0.19,Spiral,SAc,12,18,49.5,184.70625,14,25,0,14.4166666667,5.4,4.7,7.38E+04,6.42E+04,14.4,4.70E+07,Coma Berenices,9.61,NGC 4254; UGC 7345,
M104,NGC4594,.jpg,0.08,0.09,0.3,0.29,Spiral,SAa,12,39,59.3,189.9970833333,-11,37,23,-11.6230555556,8.7,3.5,7.49E+04,3.02E+04,9.08,2.96E+07,Virgo,11.06,NGC 4594; Sombrero,Called the 'Sombrero Galaxy' due the ring of dust around it; which gives it the look of a sombrero hat in optical images. In infrared light it is this dust which shines the brightest; creating the bright ring of material.
M94,NGC4736,.jpg,0.05,0.05,0.39,0.3,Spiral,SAab,12,50,52.6,192.7191666667,41,7,9,41.1191666667,11.2,9.1,4.95E+04,4.02E+04,4.66,1.52E+07,Canes Venatici,10.34,NGC 4736; UGC 7996,
M64,NGC4826,.jpg,0.06,0.07,0.39,0.19,Spiral,SAab,12,56,43.8,194.1825,21,40,60,21.6833333333,10,5.4,5.00E+04,2.70E+04,5.27,1.72E+07,Coma Berenices,9.99,NGC 4826; Black Eye Galaxy; Evil Eye Galaxy,
M63,NGC5055,.jpg,0.05,0.06,0.62,0.23,Spiral,SAbc,13,15,49.2,198.955,42,1,46,42.0294444444,12.6,7.2,9.49E+04,5.42E+04,7.94,2.59E+07,Canes Venatici,10.76,Sunflower Galaxy; NGC 5055; UGC 8334,
NGC 5474,NGC5474,.jpg,0.05,0.06,0.79,0.2,Spiral,SAcd,14,5,1.6,211.2566666667,53,39,44,53.6622222222,4.8,4.3,3.10E+04,2.77E+04,6.8,2.22E+07,Ursa Major,8.7,,
NGC 7331,NGC7331,.jpg,0.05,0.05,0.46,0.22,Spiral,SAb,22,37,4.2,339.2675,34,24,59,34.4163888889,10.5,3.7,1.44E+05,5.09E+04,14.5,4.73E+07,Pegasus,10.58,UGC 9013,
NGC 7793,NGC7793,.jpg,0.07,0.07,0.86,0.11,Spiral,SAd,23,57,49.4,359.4558333333,-32,35,24,-32.59,9.3,6.3,3.45E+04,2.34E+04,3.91,1.28E+07,Sculptor,9,,
